Image;Center_X;Center_Y;Major_Axis;Minor_Axis;Angle
BraTS20_Training_001_axial;308.9979248046875;314.00030517578125;123.92434692382812;165.89500427246094;89.99998474121094
BraTS20_Training_001_coronal;308.9990234375;393.01434326171875;145.90187072753906;171.98431396484375;90.00007629394531
BraTS20_Training_001_sagittal;412.995361328125;385.0234069824219;118.03596496582031;186.01605224609375;36.0454216003418
BraTS20_Training_002_axial;260.99298095703125;370.0111083984375;82.18628692626953;98.12450408935547;163.0879364013672
BraTS20_Training_002_coronal;259.98638916015625;416.9866943359375;82.21692657470703;139.92367553710938;165.98825073242188
BraTS20_Training_002_sagittal;336.0095520019531;418.9673156738281;111.99051666259766;148.05441284179688;16.896785736083984
BraTS20_Training_003_axial;567.0155029296875;212.99835205078125;46.090091705322266;64.11265563964844;113.78042602539062
BraTS20_Training_003_coronal;561.96826171875;345.96868896484375;64.04491424560547;88.1275634765625;149.88185119628906
BraTS20_Training_003_sagittal;533.0;354.013671875;66.06770324707031;76.02686309814453;0.0
BraTS20_Training_004_axial;534.005859375;193.0148468017578;110.0676498413086;115.91796875;21.318763732910156
BraTS20_Training_004_coronal;548.00341796875;282.0413513183594;100.09481048583984;160.0162811279297;169.92381286621094
BraTS20_Training_004_sagittal;553.9945068359375;282.0213928222656;105.87068176269531;154.07154846191406;32.007503509521484
BraTS20_Training_005_axial;540.0014038085938;187.0221405029297;70.15521240234375;85.89593505859375;40.84529113769531
BraTS20_Training_005_coronal;538.9896850585938;240.0064239501953;93.83089447021484;124.11199188232422;15.051473617553711
BraTS20_Training_005_sagittal;573.017822265625;228.02621459960938;97.8863525390625;130.2256622314453;0.011685320176184177
BraTS20_Training_006_axial;472.9908142089844;418.0306701660156;109.95744323730469;164.141357421875;13.854225158691406
BraTS20_Training_006_coronal;482.00189208984375;245.037353515625;116.11632537841797;174.1301727294922;179.99606323242188
BraTS20_Training_006_sagittal;280.9833068847656;242.01470947265625;177.95936584472656;187.9262237548828;89.9944076538086
BraTS20_Training_007_axial;536.0125732421875;243.01109313964844;77.93041229248047;96.04401397705078;89.99442291259766
BraTS20_Training_007_coronal;518.975341796875;406.999755859375;99.78338623046875;153.8753662109375;123.9346694946289
BraTS20_Training_007_sagittal;495.0097351074219;405.0407409667969;92.14437866210938;97.94998931884766;0.0029520264361053705
BraTS20_Training_008_axial;279.9947204589844;349.02728271484375;38.117740631103516;47.97245788574219;90.15579986572266
BraTS20_Training_008_coronal;279.0;479.9991760253906;48.22686767578125;52.03556442260742;0.0
BraTS20_Training_008_sagittal;361.0041198730469;479.0420837402344;42.091468811035156;54.21253204345703;9.635505676269531
